Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
30.04.2022;2022-04-30 23:30:00.000;352,5;Точка продаж 23
01.05.2022;2022-05-01 00:00:00.000;265;Точка продаж 1
01.05.2022;2022-05-01 07:00:00.000;160;Точка продаж 1
01.05.2022;2022-05-01 07:30:00.000;160;Точка продаж 1
01.05.2022;2022-05-01 08:00:00.000;250;Точка продаж 1
01.05.2022;2022-05-01 08:30:00.000;250;Точка продаж 1
01.05.2022;2022-05-01 09:00:00.000;320;Точка продаж 1
01.05.2022;2022-05-01 09:30:00.000;243;Точка продаж 1
01.05.2022;2022-05-01 12:00:00.000;287;Точка продаж 1
01.05.2022;2022-05-01 12:30:00.000;450;Точка продаж 1
01.05.2022;2022-05-01 13:00:00.000;70;Точка продаж 1
01.05.2022;2022-05-01 13:30:00.000;260;Точка продаж 1
01.05.2022;2022-05-01 16:30:00.000;125;Точка продаж 1
01.05.2022;2022-05-01 17:30:00.000;480;Точка продаж 1
01.05.2022;2022-05-01 18:00:00.000;425;Точка продаж 1
01.05.2022;2022-05-01 18:30:00.000;80;Точка продаж 1
01.05.2022;2022-05-01 19:30:00.000;410;Точка продаж 1
01.05.2022;2022-05-01 20:30:00.000;140;Точка продаж 1
01.05.2022;2022-05-01 21:00:00.000;185;Точка продаж 1
01.05.2022;2022-05-01 21:30:00.000;135;Точка продаж 1
01.05.2022;2022-05-01 22:00:00.000;245;Точка продаж 1
01.05.2022;2022-05-01 00:00:00.000;2 650,5;Точка продаж 10
01.05.2022;2022-05-01 00:30:00.000;1 069;Точка продаж 10
01.05.2022;2022-05-01 01:00:00.000;760,5;Точка продаж 10
01.05.2022;2022-05-01 01:30:00.000;74,5;Точка продаж 10
01.05.2022;2022-05-01 02:00:00.000;264;Точка продаж 10
01.05.2022;2022-05-01 03:30:00.000;2 106;Точка продаж 10
01.05.2022;2022-05-01 04:00:00.000;1 504,5;Точка продаж 10
01.05.2022;2022-05-01 04:30:00.000;2 380,5;Точка продаж 10
01.05.2022;2022-05-01 05:00:00.000;2 906;Точка продаж 10
01.05.2022;2022-05-01 05:30:00.000;985;Точка продаж 10
01.05.2022;2022-05-01 06:00:00.000;5 064,5;Точка продаж 10
